date,timestamp,open,high,low,close,RSI
2025-04-18,2025-04-18 00:00:00,84947.92,84980.0,84947.91,84980.0,
2025-04-18,2025-04-18 00:01:00,84980.0,84990.57,84979.99,84990.57,
2025-04-18,2025-04-18 00:02:00,84990.57,85018.46,84990.56,85018.45,
2025-04-18,2025-04-18 00:03:00,85018.45,85018.45,84961.15,84984.22,
2025-04-18,2025-04-18 00:04:00,84984.23,84984.23,84885.93,84885.93,
2025-04-18,2025-04-18 00:05:00,84885.94,84937.04,84869.56,84937.04,
2025-04-18,2025-04-18 00:06:00,84937.03,84981.31,84937.03,84981.31,
2025-04-18,2025-04-18 00:07:00,84981.3,84989.01,84966.17,84966.18,
2025-04-18,2025-04-18 00:08:00,84966.17,84966.18,84940.5,84948.82,
2025-04-18,2025-04-18 00:09:00,84948.82,84965.29,84948.81,84965.28,
2025-04-18,2025-04-18 00:10:00,84965.28,85018.97,84965.28,85007.48,
2025-04-18,2025-04-18 00:11:00,85007.48,85007.48,84992.63,84999.81,
2025-04-18,2025-04-18 00:12:00,84999.81,85008.28,84990.93,84992.65,
2025-04-18,2025-04-18 00:13:00,84992.65,84992.65,84992.64,84992.64,
2025-04-18,2025-04-18 00:14:00,84992.64,84992.65,84936.67,84943.76,
2025-04-18,2025-04-18 00:15:00,84943.75,84956.57,84932.98,84956.56,
2025-04-18,2025-04-18 00:16:00,84956.57,84966.78,84952.18,84963.63,
2025-04-18,2025-04-18 00:17:00,84963.62,84963.62,84881.99,84881.99,
2025-04-18,2025-04-18 00:18:00,84881.99,84896.23,84844.0,84896.22,
2025-04-18,2025-04-18 00:19:00,84896.22,84896.23,84885.19,84885.19,
2025-04-18,2025-04-18 00:20:00,84885.2,84909.93,84885.19,84909.93,
2025-04-18,2025-04-18 00:21:00,84909.93,84909.93,84862.9,84879.7,
2025-04-18,2025-04-18 00:22:00,84879.69,84883.74,84850.72,84850.72,
2025-04-18,2025-04-18 00:23:00,84850.73,84879.32,84850.72,84875.92,
2025-04-18,2025-04-18 00:24:00,84875.92,84875.93,84853.63,84863.08,
2025-04-18,2025-04-18 00:25:00,84863.08,84921.06,84863.08,84921.05,
2025-04-18,2025-04-18 00:26:00,84921.05,84921.06,84908.94,84918.4,
2025-04-18,2025-04-18 00:27:00,84918.39,84920.75,84908.89,84920.75,
2025-04-18,2025-04-18 00:28:00,84920.74,84920.75,84898.2,84898.2,
2025-04-18,2025-04-18 00:29:00,84898.2,84898.2,84872.57,84872.57,
2025-04-18,2025-04-18 00:30:00,84872.58,84886.37,84872.57,84873.78,
2025-04-18,2025-04-18 00:31:00,84873.79,84873.79,84850.57,84859.29,
2025-04-18,2025-04-18 00:32:00,84859.29,84882.33,84850.13,84873.91,
2025-04-18,2025-04-18 00:33:00,84873.92,84875.03,84862.92,84864.52,
2025-04-18,2025-04-18 00:34:00,84864.52,84864.53,84854.21,84854.21,
2025-04-18,2025-04-18 00:35:00,84854.21,84863.91,84850.58,84856.86,42.62
2025-04-18,2025-04-18 00:36:00,84856.86,84900.0,84856.85,84900.0,44.77
2025-04-18,2025-04-18 00:37:00,84899.99,84900.0,84881.26,84892.56,42.56
2025-04-18,2025-04-18 00:38:00,84892.55,84892.55,84873.08,84874.9,43.41
2025-04-18,2025-04-18 00:39:00,84874.91,84882.08,84872.06,84872.07,49.06
2025-04-18,2025-04-18 00:40:00,84872.07,84872.07,84851.94,84851.95,43.95
2025-04-18,2025-04-18 00:41:00,84851.94,84851.95,84833.89,84833.9,39.11
2025-04-18,2025-04-18 00:42:00,84833.89,84833.9,84826.08,84826.09,39.54
2025-04-18,2025-04-18 00:43:00,84826.09,84826.09,84810.03,84810.03,39.61
2025-04-18,2025-04-18 00:44:00,84810.03,84810.04,84810.03,84810.04,38.09
2025-04-18,2025-04-18 00:45:00,84810.04,84817.98,84810.03,84817.98,34.65
2025-04-18,2025-04-18 00:46:00,84817.98,84817.98,84806.39,84806.39,34.43
2025-04-18,2025-04-18 00:47:00,84806.4,84806.4,84804.03,84804.03,34.7
2025-04-18,2025-04-18 00:48:00,84804.03,84846.85,84803.93,84846.85,38.94
2025-04-18,2025-04-18 00:49:00,84846.84,84846.85,84761.61,84765.0,37.09
2025-04-18,2025-04-18 00:50:00,84764.99,84782.61,84764.99,84777.63,37.07
2025-04-18,2025-04-18 00:51:00,84777.63,84777.63,84749.58,84756.29,35.32
2025-04-18,2025-04-18 00:52:00,84756.28,84768.12,84750.21,84757.19,40.03
2025-04-18,2025-04-18 00:53:00,84757.19,84763.77,84749.99,84763.77,39.28
2025-04-18,2025-04-18 00:54:00,84763.77,84776.69,84763.77,84769.9,40.6
2025-04-18,2025-04-18 00:55:00,84769.91,84782.61,84765.79,84778.79,39.02
2025-04-18,2025-04-18 00:56:00,84778.79,84778.8,84751.38,84751.38,39.21
2025-04-18,2025-04-18 00:57:00,84751.38,84769.34,84735.35,84769.34,43.03
2025-04-18,2025-04-18 00:58:00,84769.34,84782.61,84767.0,84782.6,41.83
2025-04-18,2025-04-18 00:59:00,84782.61,84822.83,84782.6,84817.09,46.12
