date,timestamp,open,high,low,close,RSI
2024-01-27,2024-01-27 00:00:00,41823.51,41933.17,41708.0,41815.01,
2024-01-27,2024-01-27 04:00:00,41815.01,41890.0,41602.01,41710.14,
2024-01-27,2024-01-27 08:00:00,41710.15,41800.0,41394.34,41761.23,
2024-01-27,2024-01-27 12:00:00,41761.22,41894.87,41714.0,41814.0,
2024-01-27,2024-01-27 16:00:00,41813.99,41986.06,41745.26,41910.47,
2024-01-27,2024-01-27 20:00:00,41910.48,42200.0,41910.47,42120.63,
2024-01-28,2024-01-28 00:00:00,42120.63,42244.0,41925.0,42231.83,
2024-01-28,2024-01-28 04:00:00,42231.84,42842.68,42228.64,42388.82,
2024-01-28,2024-01-28 08:00:00,42388.82,42698.0,42323.14,42471.98,
2024-01-28,2024-01-28 12:00:00,42471.98,42544.0,42155.55,42258.01,
2024-01-28,2024-01-28 16:00:00,42258.0,42354.7,41721.08,41785.92,
2024-01-28,2024-01-28 20:00:00,41785.91,42073.81,41620.81,42031.06,
2024-01-29,2024-01-29 00:00:00,42031.05,42504.0,41874.94,42331.2,
2024-01-29,2024-01-29 04:00:00,42331.19,42345.36,41988.88,42053.46,
2024-01-29,2024-01-29 08:00:00,42053.45,42381.1,41961.1,42246.95,
2024-01-29,2024-01-29 12:00:00,42246.95,42647.27,41804.88,42641.75,
2024-01-29,2024-01-29 16:00:00,42641.75,43313.8,42518.0,42995.99,
2024-01-29,2024-01-29 20:00:00,42995.99,43333.0,42982.66,43302.7,
2024-01-30,2024-01-30 00:00:00,43302.71,43787.35,43133.9,43519.71,
2024-01-30,2024-01-30 04:00:00,43519.71,43570.09,43259.26,43358.25,
2024-01-30,2024-01-30 08:00:00,43358.24,43564.85,43215.76,43537.74,70.59
2024-01-30,2024-01-30 12:00:00,43537.75,43882.36,43114.13,43375.5,69.64
2024-01-30,2024-01-30 16:00:00,43375.5,43599.0,43224.0,43547.98,70.48
2024-01-30,2024-01-30 20:00:00,43547.99,43760.0,42683.99,42941.1,61.46
2024-01-31,2024-01-31 00:00:00,42941.1,43107.77,42655.07,42930.07,60.55
2024-01-31,2024-01-31 04:00:00,42930.06,43087.93,42871.1,43050.01,59.8
2024-01-31,2024-01-31 08:00:00,43050.01,43091.1,42355.0,42647.98,54.14
2024-01-31,2024-01-31 12:00:00,42647.98,43465.02,42521.31,43361.1,58.7
2024-01-31,2024-01-31 16:00:00,43361.11,43745.11,43041.1,43334.64,57.8
2024-01-31,2024-01-31 20:00:00,43334.63,43361.1,42276.84,42580.0,52.65
2024-02-01,2024-02-01 00:00:00,42580.0,42687.63,41884.28,42015.65,51.86
2024-02-01,2024-02-01 04:00:00,42015.65,42300.0,41889.95,42190.16,51.31
2024-02-01,2024-02-01 08:00:00,42190.15,42331.1,42026.52,42087.52,47.93
2024-02-01,2024-02-01 12:00:00,42087.52,42946.6,41944.89,42516.12,53.83
2024-02-01,2024-02-01 16:00:00,42516.12,43285.13,42364.0,43218.94,57.41
2024-02-01,2024-02-01 20:00:00,43218.94,43279.91,42872.91,43082.94,53.5
2024-02-02,2024-02-02 00:00:00,43082.95,43432.63,43026.15,43037.25,50.34
2024-02-02,2024-02-02 04:00:00,43037.25,43271.1,42943.71,43086.89,48.12
2024-02-02,2024-02-02 08:00:00,43086.9,43199.0,42941.1,43148.41,46.67
2024-02-02,2024-02-02 12:00:00,43148.42,43250.0,42546.79,43242.09,48.95
2024-02-02,2024-02-02 16:00:00,43242.1,43488.0,42783.09,43061.97,45.68
2024-02-02,2024-02-02 20:00:00,43061.98,43238.01,42900.48,43200.0,48.4
2024-02-03,2024-02-03 00:00:00,43199.99,43380.01,43142.0,43173.94,46.5
2024-02-03,2024-02-03 04:00:00,43173.95,43222.75,43040.0,43053.05,51.15
2024-02-03,2024-02-03 08:00:00,43053.05,43125.28,42973.66,42995.04,50.66
2024-02-03,2024-02-03 12:00:00,42995.04,43190.0,42880.0,43119.06,50.7
2024-02-03,2024-02-03 16:00:00,43119.06,43270.0,43016.28,43061.09,54.53
2024-02-03,2024-02-03 20:00:00,43061.09,43104.68,42953.33,43011.09,45.51
2024-02-04,2024-02-04 00:00:00,43011.1,43068.79,42880.01,43027.16,46.04
2024-02-04,2024-02-04 04:00:00,43027.16,43029.17,42720.07,42845.03,54.0
2024-02-04,2024-02-04 08:00:00,42845.03,43119.04,42741.6,43060.1,67.62
2024-02-04,2024-02-04 12:00:00,43060.09,43115.76,42845.51,42943.21,62.96
2024-02-04,2024-02-04 16:00:00,42943.2,42969.79,42573.17,42636.44,58.83
2024-02-04,2024-02-04 20:00:00,42636.43,42985.73,42222.0,42582.88,51.22
2024-02-05,2024-02-05 00:00:00,42582.88,42729.02,42258.1,42718.31,38.45
2024-02-05,2024-02-05 04:00:00,42718.31,43176.39,42642.0,43071.88,49.77
2024-02-05,2024-02-05 08:00:00,43071.87,43268.98,42954.54,43194.08,53.19
2024-02-05,2024-02-05 12:00:00,43194.08,43569.76,42600.11,42644.03,42.52
2024-02-05,2024-02-05 16:00:00,42644.04,42869.66,42501.0,42765.36,43.66
2024-02-05,2024-02-05 20:00:00,42765.35,42798.37,42330.52,42708.7,41.06
2024-02-06,2024-02-06 00:00:00,42708.7,42960.01,42574.0,42851.11,46.42
2024-02-06,2024-02-06 04:00:00,42851.1,42926.73,42667.0,42890.0,44.56
2024-02-06,2024-02-06 08:00:00,42889.99,43119.9,42670.61,42826.96,43.99
2024-02-06,2024-02-06 12:00:00,42826.96,43270.89,42658.0,43244.89,53.01
2024-02-06,2024-02-06 16:00:00,43244.89,43399.98,43000.0,43278.78,54.49
2024-02-06,2024-02-06 20:00:00,43278.79,43322.0,43032.71,43098.95,49.69
2024-02-07,2024-02-07 00:00:00,43098.96,43192.0,42788.0,42800.0,46.22
2024-02-07,2024-02-07 04:00:00,42799.99,43051.1,42794.67,42918.03,48.68
2024-02-07,2024-02-07 08:00:00,42918.02,43200.0,42838.01,42928.29,48.59
2024-02-07,2024-02-07 12:00:00,42928.28,43325.03,42890.51,43071.08,53.25
2024-02-07,2024-02-07 16:00:00,43071.08,43710.0,43013.75,43615.47,57.29
2024-02-07,2024-02-07 20:00:00,43615.47,44396.5,43615.47,44349.6,65.89
2024-02-08,2024-02-08 00:00:00,44349.6,44780.0,44331.1,44540.99,72.1
2024-02-08,2024-02-08 04:00:00,44540.98,44633.78,44427.01,44513.24,72.54
2024-02-08,2024-02-08 08:00:00,44513.25,44885.0,44513.24,44698.97,72.85
2024-02-08,2024-02-08 12:00:00,44698.97,45467.14,44606.0,45432.3,75.04
2024-02-08,2024-02-08 16:00:00,45432.3,45498.0,44890.0,45284.14,72.05
2024-02-08,2024-02-08 20:00:00,45284.13,45614.3,45227.0,45288.65,81.53
2024-02-09,2024-02-09 00:00:00,45288.66,46384.27,45242.12,46060.74,84.01
2024-02-09,2024-02-09 04:00:00,46060.74,46425.03,45855.0,46202.0,85.44
2024-02-09,2024-02-09 08:00:00,46202.01,47299.88,46201.53,47180.02,87.55
2024-02-09,2024-02-09 12:00:00,47180.01,47719.44,46652.0,47159.99,87.16
2024-02-09,2024-02-09 16:00:00,47159.99,48200.0,47134.0,47509.48,88.81
2024-02-09,2024-02-09 20:00:00,47509.48,47693.28,47035.92,47132.77,82.45
2024-02-10,2024-02-10 00:00:00,47132.78,47504.0,47044.88,47376.62,83.04
2024-02-10,2024-02-10 04:00:00,47376.62,47430.03,47145.4,47151.72,82.44
2024-02-10,2024-02-10 08:00:00,47151.72,47274.0,46800.0,47182.0,86.66
2024-02-10,2024-02-10 12:00:00,47182.01,47378.41,47105.44,47353.48,86.77
2024-02-10,2024-02-10 16:00:00,47353.48,47660.0,47154.52,47531.09,87.13
2024-02-10,2024-02-10 20:00:00,47531.09,48170.0,47454.37,47751.09,87.29
2024-02-11,2024-02-11 00:00:00,47751.08,48557.0,47557.16,48519.61,87.73
2024-02-11,2024-02-11 04:00:00,48519.6,48592.66,48061.1,48179.52,81.37
2024-02-11,2024-02-11 08:00:00,48179.51,48438.81,47922.33,48411.71,81.49
2024-02-11,2024-02-11 12:00:00,48411.71,48469.07,47931.82,48150.43,78.51
2024-02-11,2024-02-11 16:00:00,48150.43,48394.29,47948.38,48284.0,78.33
2024-02-11,2024-02-11 20:00:00,48283.99,48375.0,47971.18,48299.99,75.56
2024-02-12,2024-02-12 00:00:00,48300.0,48826.81,48009.52,48145.0,75.47
2024-02-12,2024-02-12 04:00:00,48145.0,48382.27,47755.81,48203.98,75.7
2024-02-12,2024-02-12 08:00:00,48203.98,48311.15,47710.01,47903.03,67.71
2024-02-12,2024-02-12 12:00:00,47903.04,49950.0,47841.0,49917.8,76.26
2024-02-12,2024-02-12 16:00:00,49917.8,50334.82,49372.22,49532.03,68.14
2024-02-12,2024-02-12 20:00:00,49532.02,50271.02,49532.02,49917.27,70.14
2024-02-13,2024-02-13 00:00:00,49917.28,50368.61,49724.33,49789.99,67.21
2024-02-13,2024-02-13 04:00:00,49790.0,50117.84,49789.99,49983.09,72.13
2024-02-13,2024-02-13 08:00:00,49983.09,50247.0,49650.0,49988.12,71.05
2024-02-13,2024-02-13 12:00:00,49988.12,49996.0,48400.0,48727.47,60.89
2024-02-13,2024-02-13 16:00:00,48727.47,49268.21,48300.95,49036.73,62.34
2024-02-13,2024-02-13 20:00:00,49036.74,49775.0,49011.1,49699.59,64.65
2024-02-14,2024-02-14 00:00:00,49699.6,49712.94,49333.0,49518.61,62.4
2024-02-14,2024-02-14 04:00:00,49518.61,49877.22,49225.01,49838.93,62.87
2024-02-14,2024-02-14 08:00:00,49838.93,51723.08,49741.19,51555.12,66.75
2024-02-14,2024-02-14 12:00:00,51555.12,52043.71,51276.24,51590.0,69.48
2024-02-14,2024-02-14 16:00:00,51590.0,51750.0,51200.24,51678.0,68.97
2024-02-14,2024-02-14 20:00:00,51677.99,51888.0,51464.0,51795.17,71.53
2024-02-15,2024-02-15 00:00:00,51795.17,52500.0,51717.58,52343.32,72.86
2024-02-15,2024-02-15 04:00:00,52343.32,52364.55,51634.01,51776.61,68.43
2024-02-15,2024-02-15 08:00:00,51776.6,52498.12,51650.0,52330.0,71.29
2024-02-15,2024-02-15 12:00:00,52330.0,52816.62,51721.31,51948.23,68.44
2024-02-15,2024-02-15 16:00:00,51948.24,52380.0,51725.0,52002.01,70.69
2024-02-15,2024-02-15 20:00:00,52002.01,52011.1,51314.0,51880.0,62.24
2024-02-16,2024-02-16 00:00:00,51880.01,52328.0,51803.6,52280.25,67.12
2024-02-16,2024-02-16 04:00:00,52280.25,52343.28,51700.0,51731.99,61.08
2024-02-16,2024-02-16 08:00:00,51732.0,52435.86,51566.0,52213.86,64.18
2024-02-16,2024-02-16 12:00:00,52213.87,52572.08,51592.88,51888.01,60.98
2024-02-16,2024-02-16 16:00:00,51888.01,52245.0,51655.0,51756.29,60.04
2024-02-16,2024-02-16 20:00:00,51756.29,52208.43,51681.1,52124.11,71.47
